f_name, R_at_min_dG/dR, min_dG/dR, max_G, R_at_max_G
datasets/barred_galaxies/poisson_noise_bg_run.255.std_1_highres.fits.png,300.0,0.27783051231324707,0.28453800176922783,264.0
datasets/barred_galaxies/poisson_noise_bg_run695.01000_3_highres.fits.png,96.0,0.14697375252189185,0.17459942319198607,48.0
datasets/barred_galaxies/poisson_noise_bg_run671.00800_4_highres.fits.png,192.0,0.13877939520666918,0.15495262297626258,144.0
datasets/barred_galaxies/poisson_noise_bg_run688.00100_2_highres.fits.png,96.0,0.1487851976799198,0.1649510635609397,72.0
datasets/barred_galaxies/poisson_noise_bg_run680.01000_1_highres.fits.png,228.0,0.20263478199055798,0.2385064663612371,144.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00900_3_highres.fits.png,168.0,0.2138267091850595,0.24493055244813605,120.0
datasets/barred_galaxies/poisson_noise_bg_run688.00600_4_highres.fits.png,156.0,0.12350872030301965,0.13967780216987102,108.0
datasets/barred_galaxies/poisson_noise_bg_run653.00750_2_highres.fits.png,156.0,0.2048896647174233,0.23885560273303144,108.0
datasets/barred_galaxies/poisson_noise_bg_run662c.00700_4_highres.fits.png,180.0,0.19616060172381158,0.21602444401387572,144.0
datasets/barred_galaxies/poisson_noise_bg_run677.01400_2_highres.fits.png,216.0,0.21995891168145523,0.2507483299663506,156.0
datasets/barred_galaxies/poisson_noise_bg_run661.00700_3_highres.fits.png,180.0,0.19452581033791586,0.21930831175130383,132.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00500_4_highres.fits.png,168.0,0.19769077485359135,0.22645178980962968,120.0
datasets/barred_galaxies/poisson_noise_bg_run672.00900_3_highres.fits.png,216.0,0.14340161637373197,0.16301136292527835,156.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00200_2_highres.fits.png,108.0,0.20066938095394038,0.24519323167692128,72.0
datasets/barred_galaxies/poisson_noise_bg_run670Diff.00700_2_highres.fits.png,240.0,0.1771163214425803,0.20408807911829505,180.0
datasets/barred_galaxies/poisson_noise_bg_run671.01100_1_highres.fits.png,216.0,0.14918984596953394,0.16733251339737845,156.0
datasets/barred_galaxies/poisson_noise_bg_run661.01200_1_highres.fits.png,264.0,0.21748729416586934,0.24976907998917175,192.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00200_2_highres.fits.png,144.0,0.1955846796235297,0.22650729625572447,108.0
datasets/barred_galaxies/poisson_noise_bg_run.264.std_1_highres.fits.png,300.0,0.2835251554132405,0.2878413760484959,276.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00500_4_highres.fits.png,168.0,0.20570229577422502,0.23884759973560057,120.0
datasets/barred_galaxies/poisson_noise_bg_run670Diff.00900_3_highres.fits.png,300.0,0.2034855388992479,0.20449544476776682,288.0
datasets/barred_galaxies/poisson_noise_bg_run652ht.01200_3_highres.fits.png,276.0,0.19369331677415605,0.21237742519697622,192.0
datasets/barred_galaxies/poisson_noise_bg_run677.01100_2_highres.fits.png,192.0,0.22556754159988066,0.24971684704038763,144.0
datasets/barred_galaxies/poisson_noise_bg_run672.00700_2_highres.fits.png,216.0,0.1259178119565283,0.1441818977377607,144.0
datasets/barred_galaxies/poisson_noise_bg_run688.00300_4_highres.fits.png,156.0,0.12036129382959378,0.13375645411247047,108.0
datasets/barred_galaxies/poisson_noise_bg_run694.00600_3_highres.fits.png,300.0,0.18523834379058357,0.2174731564466702,216.0
datasets/barred_galaxies/poisson_noise_bg_run661.00900_2_highres.fits.png,276.0,0.2079174890443876,0.23519746258840626,204.0
datasets/barred_galaxies/poisson_noise_bg_run652ht.00700_1_highres.fits.png,204.0,0.17991260254594363,0.19922447545003857,156.0
datasets/barred_galaxies/poisson_noise_bg_run688.00400_2_highres.fits.png,156.0,0.11921444388539855,0.13062259704540802,120.0
datasets/barred_galaxies/poisson_noise_bg_run700.00600_1_highres.fits.png,216.0,0.1183996143350706,0.13246644841454688,144.0
datasets/barred_galaxies/poisson_noise_bg_run662c.01200_3_highres.fits.png,156.0,0.18271266234857114,0.2042648740935763,120.0
datasets/barred_galaxies/poisson_noise_bg_run671.00800_1_highres.fits.png,192.0,0.13946139500227356,0.15821663983962095,132.0
datasets/barred_galaxies/poisson_noise_bg_run.255.std_4_highres.fits.png,48.0,0.008066443402495134,0.28362576779837806,300.0
datasets/barred_galaxies/poisson_noise_bg_run662.00600_1_highres.fits.png,120.0,0.17238559339038562,0.19392531395365395,96.0
datasets/barred_galaxies/poisson_noise_bg_run677.01300_1_highres.fits.png,180.0,0.21653953994472563,0.25626520681010173,120.0
datasets/barred_galaxies/poisson_noise_bg_run364.std_4_highres.fits.png,276.0,0.26828799824390703,0.29836784150354473,204.0
datasets/barred_galaxies/poisson_noise_bg_run700.00300_4_highres.fits.png,228.0,0.1093906156208163,0.12469031873930973,156.0
datasets/barred_galaxies/poisson_noise_bg_run662.01300_3_highres.fits.png,216.0,0.20394419733510172,0.24707150726971921,132.0
